,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
0,Inoculum,0,4691358.024691358,At,,
1,Inoculum,0,37037037.03703704,At,,
2,Inoculum,0,14074074.074074075,At,,
3,A1,4,360000000.0,At,At,At-malate
4,A2,4,320000000.0,At,At,At-malate
5,A3,4,300000000.0,At,At,At-malate
6,A4,4,2000000000.0,At,At,Ct-malate
7,A5,4,1200000000.0,At,At,Ct-malate
8,A6,4,520000000.0,At,At,Ct-malate
9,A7,4,3200000000.0,At,At,Ml-malate
10,A8,4,4400000000.0,At,At,Ml-malate
11,A9,4,1180000000.0,At,At,Ml-malate
12,A12,4,5600000000.0,At,At,Oa-malate
13,B1,4,,At,Ct,At-malate
14,B2,4,,At,Ct,At-malate
15,B3,4,,At,Ct,At-malate
16,B4,4,,At,Ct,Ct-malate
17,B6,4,,At,Ct,Ct-malate
18,B7,4,,At,Ct,Ml-malate
19,B8,4,,At,Ct,Ml-malate
20,B9,4,,At,Ct,Ml-malate
21,B10,4,,At,Ct,Oa-malate
22,B11,4,,At,Ct,Oa-malate
23,B12,4,,At,Ct,Oa-malate
24,C1,4,,At,Ml,At-malate
25,C2,4,,At,Ml,At-malate
26,C3,4,,At,Ml,At-malate
27,C4,4,,At,Ml,Ct-malate
28,C5,4,,At,Ml,Ct-malate
29,C6,4,,At,Ml,Ct-malate
30,C7,4,,At,Ml,Ml-malate
31,C8,4,,At,Ml,Ml-malate
32,C9,4,,At,Ml,Ml-malate
33,C10,4,,At,Ml,Oa-malate
34,C11,4,,At,Ml,Oa-malate
35,C12,4,,At,Ml,Oa-malate
36,D1,4,,At,Oa,At-malate
37,D2,4,,At,Oa,At-malate
38,D3,4,,At,Oa,At-malate
39,D4,4,,At,Oa,Ct-malate
40,D5,4,,At,Oa,Ct-malate
41,D7,4,,At,Oa,Ml-malate
42,D8,4,,At,Oa,Ml-malate
43,D9,4,,At,Oa,Ml-malate
44,D10,4,,At,Oa,Oa-malate
45,D11,4,,At,Oa,Oa-malate
46,D12,4,,At,Oa,Oa-malate
47,E1,4,42000000.0,At,At,No-CS
48,E2,4,40000000.0,At,At,No-CS
49,E3,4,34000000.0,At,At,No-CS
50,E4,4,,At,Ct,No-CS
51,E5,4,,At,Ct,No-CS
52,E7,4,,At,Ml,No-CS
53,E8,4,,At,Ml,No-CS
54,E9,4,,At,Ml,No-CS
55,E10,4,,At,Oa,No-CS
56,E11,4,,At,Oa,No-CS
57,F1,4,,At,Ct+Ml,At-malate
58,F2,4,,At,Ct+Ml,At-malate
59,F3,4,,At,Ct+Ml,At-malate
60,F4,4,680000000.0,At,At+Ml,Ct-malate
61,F5,4,520000000.0,At,At+Ml,Ct-malate
62,F6,4,540000000.0,At,At+Ml,Ct-malate
63,F7,4,80000000.0,At,At+Ct,Ml-malate
64,F8,4,84000000.0,At,At+Ct,Ml-malate
65,F9,4,86000000.0,At,At+Ct,Ml-malate
66,F10,4,110000000.0,At,At+Ct,Oa-malate
67,F11,4,106000000.0,At,At+Ct,Oa-malate
68,F12,4,104000000.0,At,At+Ct,Oa-malate
69,G1,4,,At,Ct+Oa,At-malate
70,G2,4,,At,Ct+Oa,At-malate
71,G3,4,,At,Ct+Oa,At-malate
72,G4,4,340000000.0,At,At+Oa,Ct-malate
73,G5,4,240000000.0,At,At+Oa,Ct-malate
74,G6,4,320000000.0,At,At+Oa,Ct-malate
75,G7,4,720000000.0,At,At+Oa,Ml-malate
76,G8,4,420000000.0,At,At+Oa,Ml-malate
77,G9,4,660000000.0,At,At+Oa,Ml-malate
78,G10,4,500000000.0,At,At+Ml,Oa-malate
79,G11,4,400000000.0,At,At+Ml,Oa-malate
80,G12,4,520000000.0,At,At+Ml,Oa-malate
81,H1,4,,At,Ml+Oa,At-malate
82,H2,4,,At,Ml+Oa,At-malate
83,H3,4,,At,Ml+Oa,At-malate
84,H4,4,,At,Ml+Oa,Ct-malate
85,H5,4,,At,Ml+Oa,Ct-malate
86,H6,4,,At,Ml+Oa,Ct-malate
87,H7,4,,At,Ct+Oa,Ml-malate
88,H8,4,,At,Ct+Oa,Ml-malate
89,H9,4,,At,Ct+Oa,Ml-malate
90,H10,4,,At,Ct+Ml,Oa-malate
91,H11,4,,At,Ct+Ml,Oa-malate
92,H12,4,,At,Ct+Ml,Oa-malate
93,Inoculum,0,437593.2371954252,Ct,,
94,Inoculum,0,1093983.092988563,Ct,,
95,Inoculum,0,371954.2516161114,Ct,,
96,A1,4,,Ct,At,At-malate
97,A2,4,,Ct,At,At-malate
98,A3,4,,Ct,At,At-malate
99,A4,4,,Ct,At,Ct-malate
100,A5,4,,Ct,At,Ct-malate
101,A6,4,,Ct,At,Ct-malate
102,A7,4,,Ct,At,Ml-malate
103,A8,4,,Ct,At,Ml-malate
104,A9,4,,Ct,At,Ml-malate
105,A12,4,,Ct,At,Oa-malate
106,B1,4,78000000.0,Ct,Ct,At-malate
107,B2,4,108000000.0,Ct,Ct,At-malate
108,B3,4,54000000.0,Ct,Ct,At-malate
109,B4,4,,Ct,Ct,Ct-malate
110,B6,4,58000000.0,Ct,Ct,Ct-malate
111,B7,4,1140000000.0,Ct,Ct,Ml-malate
112,B8,4,1360000000.0,Ct,Ct,Ml-malate
113,B9,4,1400000000.0,Ct,Ct,Ml-malate
114,B10,4,40000000.0,Ct,Ct,Oa-malate
115,B11,4,58000000.0,Ct,Ct,Oa-malate
116,B12,4,56000000.0,Ct,Ct,Oa-malate
117,C1,4,,Ct,Ml,At-malate
118,C2,4,,Ct,Ml,At-malate
119,C3,4,,Ct,Ml,At-malate
